themes,data
CBR,"kb,mainten,learn,two,tier,domain,represent,gennadi,agr,institut,inform,technolog,bulgarian,academi,scienc,acad,g,bonchev,st,block,sofia,bulgaria,email,agr,iinf,bg,abstract,paper,deal,problem,improv,problem,solv,behavior,tradit,kb,cours,it,real,oper,part,mainten,task,solut,problem,search,integr,kb,special,design,case,base,reason,modul,use,correct,solut,produc,the,kb,special,attent,paid,the,method,case,match,reconcil,conflict,cbr,rbr,the,propos,solut,both,problem,base,treat,the,mainten,task,problem,learn,two,tier,domain,represent,thi,view,point,rule,form,the,first,domain,tier,reflect,exist,strong,pattern,the,represent,domain,concept,the,second,tier,is,form,the,newli,solv,case,along,special,domain,depend,procedur,case,match,the,main,idea,the,approach,illustr,the,result,some,experi,the,experiment,system,corcas,refer,aamodt,knowledg,intens,integr,approach,problem,solv,sustain,learn,ph,dissert,univers,trondheim,agr,g,improv,kb,behavior,use,problem,solv,experi,ph,jorrand,v,sgurev,ed,proc,the,vith,int,confer,aimsa,world,scientif,pubi,singapor,agr,g,approach,integr,rule,base,case,base,reason,problem,engin,cybernet,robot,bulgarian,academi,scienc,sofia,barsal,l,hale,g,compon,conceptu,represent,featur,list,recurs,frame,van,mechelen,j,hampton,r,michalsi,p,theun,ed,categori,concept,theoret,view,induct,data,analysi,academ,press,bergadano,f,matwin,michaiski,r,zhang,j,learn,two,tier,descript,flexibl,concept,the,poseidon,system,machin,learn,biberman,contex,similar,measur,f,bergadano,l,de,raedt,ed,machin,learn,ecml,lnaj,springer,verlag,coenen,f,bench,capon,mainten,knowledg,base,system,theori,techniqu,tool,academ,press,gold,r,rosenbloom,p,improv,rule,base,system,case,base,reason,proceed,the,nation,confer,artifici,intellig,anaheim,mit,press,hammond,k,case,base,plan,view,plan,memori,task,academ,press,iordanova,l,giacometti,a,vila,a,ami,b,reymond,f,abaoub,l,dahou,riall,v,shade,a,hybrid,system,diagnosi,electromyographi,proc,ixth,int,congress,electromyographi,jerusalem,kolodn,j,l,extend,problem,solver,capabl,case,base,infer,proc,th,workshop,machin,learn,uc,irvin,june,markov,z,privat,commun,matwin,plant,b,a,deduct,induct,method,theori,revis,r,michalski,gh,tecuci,ed,proc,the,first,int,workshop,multistrategi,learn,harper,ferri,michalski,r,learn,flexibl,concept,fundament,idea,a,method,base,two,tier,represent,kodratoff,r,michalski,ed,machin,learn,artifici,intellig,approach,san,mateo,ca,morgan,kaufmann,mitchel,m,r,keller,kedar,cabelli,explan,base,gener,a,unifi,view,machin,learn,cost,salzberg,a,weight,nearest,neighbor,algorithm,learn,symbol,featur,machin,learn,stanfil,c,waltz,toward,memori,base,reason,commun,acm,zhang,j,integr,symbol,subsymbol,approach,learn,flexibl,concept,r,michalski,gh,tecuci,ed,proc,the,first,int,workshop,multistrategi,learn,harper,ferri,zhang,j,select,typic,instanc,instanc,base,learn,sleeman,p,edward,ed,machin,learn,proc,the,ninth,int,workshop,ml,san,mateo,ca,morgan,kaufmann"
CBR,"integr,case,base,retriev,relat,databas,system,aircraft,technic,support,jonathan,rc,allen,david,wr,patterson,mauric,mulvenna,john,g,hugh,northern,ireland,knowledg,engin,laboratori,faculti,informat,univers,ulster,jordanstown,newtownabbey,northern,ireland,uk,bt,qb,abstract,case,base,reason,cbr,suit,problem,solv,domain,there,recur,problem,paper,describ,develop,cbr,system,use,such,domain,technic,support,depart,aircraft,manufactur,compani,system,use,three,type,index,knowledg,guid,induct,induct,index,nearest,neighbour,match,result,system,integr,case,base,retriev,a,relat,databas,system,provid,a,rich,environ,help,manag,life,cycl,a,technic,support,queri,earli,test,the,system,staff,discern,a,new,queri,a,recur,problem,ha,solv,or,it,a,complet,new,unsolv,technic,queri,refer,barletta,r,introduct,case,base,reason,al,expert,harmon,p,case,base,reason,intellig,softwar,strategi,kriegsman,barletta,r,build,a,case,base,help,applic,ieee,expert,harmon,p,case,base,reason,intellig,softwar,strategi,forsyth,r,expert,system,principl,case,studi,ed,forsyth,r,chapman,hall,ltd,michalski,r,carbonnel,j,mitchel,machin,learn,an,artifici,intellig,approach,tioga,publish,corp,palo,alto,ca,magaldi,r,v,maitain,aeroplan,time,constrain,oper,situat,use,case,base,reason,ewcbr,chantilli,franc"
CBR,"case,base,approach,develop,write,tool,aim,non,nativ,english,user,sandra,alu,sio,osvaldo,n,oliveira,jr,universidad,de,paulo,departamento,de,ci,ncia,de,computa,e,estat,stica,cp,carlo,sp,brazil,e,mail,sandra,icmsc,sc,usp,br,universidad,de,paulo,instituto,de,f,sica,de,carlo,cp,carlo,sp,brazil,e,mail,chu,ifqsc,sc,usp,br,abstract,write,tool,been,develop,help,non,nativ,english,user,produc,first,draft,introductori,section,scientif,paper,corpu,analysi,carri,paper,experiment,physic,allow,one,identifi,schemat,structur,introduct,rhetor,strategi,gener,employ,one,introduct,analys,constitut,case,user,choos,menu,featur,relat,rhetor,strategi,each,compon,give,intend,order,hi,introduct,thu,form,requisit,use,three,type,metric,tool,recov,best,match,case,can,later,modifi,revis,process,preliminari,experi,show,high,precis,recal,onli,obtain,the,number,case,the,case,base,consider,increas,the,revis,process,four,oper,suggest,consist,modifi,ad,delet,the,differ,rhetor,messag,constitut,the,strategi,the,chosen,case,refer,born,born,g,hipertext,base,support,aid,write,softwar,document,comput,write,state,the,art,p,brian,holt,n,william,ed,kiuwer,academ,publish,dordrecht,pp,buchanan,buchanan,r,textbas,technolog,write,reusabl,text,comput,write,state,the,art,p,o,brian,holt,n,william,ed,kluwer,academ,publish,dordrecht,pp,caldeira,caldeira,alufsio,de,oliveira,c,f,fontana,n,nacamatsu,c,o,oliveira,jr,o,n,write,tool,non,nativ,user,english,proceed,the,xviii,latinamerican,informat,confer,spain,p,crook,crook,g,toward,valid,analysi,scientif,text,structur,appli,linguist,vol,pp,fontana,fontana,n,caldeira,alu,sio,de,oliveira,c,f,oliveira,jr,o,n,comput,assist,write,aplic,english,foreign,languag,call,volum,p,hovi,hovi,e,pragmat,natur,languag,gener,artifici,intellig,p,huckin,huckin,n,olsen,l,technic,write,profession,commun,nonn,speaker,english,mcgraw,hill,jacob,jacob,p,phred,gener,natur,languag,interfac,comput,linguist,kettler,kettler,b,p,hendler,j,andersen,w,evett,p,massiv,parallel,support,case,base,plan,ieee,expert,pp,februari,kitano,kitano,h,parallel,increment,sentenc,product,model,simultan,interpret,current,research,natur,languag,gener,dale,r,mellish,c,zock,m,ed,academ,press,boston,pp,kukich,kukich,k,knowledg,base,report,gener,a,knowledg,engin,approach,natur,languag,report,gener,phd,thesi,univers,pittsburg,mayburi,mayburi,m,t,plan,multisententi,english,text,use,commun,act,phd,thesi,tech,r,univers,cambridg,oliveira,oliveira,jr,o,n,caldeira,alufsio,m,fontana,n,chusauru,a,write,tool,resourc,non,nativ,user,english,proceed,the,xi,intern,confer,the,chilean,comput,scienc,societi,pp,also,comput,scienc,research,applic,r,baeza,yate,u,manber,ed,plenum,press,n,pp,paic,paic,c,construct,literatur,abstract,comput,techniqu,prospect,inform,process,manag,vol,pp,pautler,pautler,plan,learn,domain,provid,littl,feedback,aaai,fall,symposium,plan,learn,note,smadja,smadja,f,retriev,colloc,knowledg,textual,corpora,applic,languag,gener,phd,thesi,comput,scienc,depart,columbia,univers,swale,swale,j,genr,analisi,english,academ,research,set,cambridg,univers,press,taylor,taylor,g,tingguang,c,linguist,cultur,subcultur,issu,in,contrast,discours,analysi,anglo,amarican,chines,scientif,text,appli,linguist,vol,pp,trimbl,trimbl,l,english,scienc,and,technolog,a,discours,approach,cambridg,univers,press,weissberg,weissberg,r,and,buker,write,research,experiment,research,report,write,student,english,prentic,hall,regent"
CBR,"reason,reason,case,base,comparison,kevin,ashley,bruce,mclaren,univers,pittsburgh,pittsburgh,pennsylvania,abstract,thi,work,are,interest,how,ration,decis,maker,reason,reason,domain,practic,ethic,they,appear,reason,reason,symbol,term,both,abstract,moral,principl,case,comparison,challeng,reason,human,artifici,use,abstract,knowledg,reason,principl,inform,decis,salienc,similar,differ,among,case,still,account,case,or,problem,specif,contextu,circumst,truth,teller,program,have,develop,test,compar,pair,case,present,ethic,dilemma,whether,tell,truth,program,method,reason,reason,help,make,context,sensit,assess,the,salienc,similar,differ,refer,aleven,v,ashley,k,instruct,environ,practic,argument,skill,the,proceed,aaai,page,ashley,k,model,legal,argument,reason,case,hypothet,mit,press,cambridg,base,phd,dissert,ashley,k,mclaren,b,cbr,knowledg,represent,practic,ethic,proceed,ewcbr,bareiss,e,r,exemplar,base,knowledg,acquisit,unifi,approach,concept,represent,classif,learn,academ,press,san,diego,ca,base,phd,dissert,bok,lie,moral,choic,public,privat,life,random,hous,inc,vintag,book,new,york,brant,k,l,build,explan,rule,structur,case,the,journal,man,machin,studi,edelson,c,should,cheetah,remind,bat,remind,case,base,teach,proceed,aaai,san,jose,ca,gilligan,c,differ,voic,harvard,univers,press,hammond,k,case,base,plan,view,plan,memori,task,san,diego,ca,academ,press,jonsen,r,toulmin,the,abus,casuistri,a,histori,moral,reason,univers,ca,press,berkeley,kass,a,leak,owen,c,c,swale,a,program,explain,schank,r,c,ed,explan,pattern,understand,mechan,creativ,lawrenc,erlbaum,associ,hillsdal,nj,kolodn,j,case,base,reason,morgan,kaufmann,publish,inc,san,mateo,ca,koton,p,use,experi,learn,problem,solv,phd,thesi,mit,macgregor,r,burstein,h,use,a,descript,classifi,to,enhanc,knowledg,represent,ieee,expert,page,rissland,e,l,skalak,b,cabaret,rule,interpret,a,hybrid,architectur,the,journal,of,man,machin,studi,page,rissland,e,l,skalak,b,friedman,t,bankxx,a,program,to,gener,argument,case,base,search,fourth,intern,confer,ai,and,law,vrie,universiteit,amsterdam,strong,c,justif,ethic,baruch,a,brodi,ed,moral,theori,and,moral,judgment,medic,ethic,pp,kiuwer,dordrecht,sycara,e,p,resolv,adversari,conflict,an,approach,integr,case,base,and,analyt,method,georgia,inst,tech,tech,rep,git,ic,atlanta,veloso,m,v,learn,analog,reason,gener,problem,solv,phd,thesi,carnegi,mellon,univers,technic,report,cmu,cs"
CBR,"inreca,seamlessli,integr,system,base,induct,infer,case,base,reason,e,auriol,wess,manago,k,althoff,r,traph,ner,acknosoft,rue,du,dessou,de,berg,pari,franc,phone,fax,e,mail,auriol,manago,ipbc,fr,univers,kaiserslautern,dept,comput,scienc,p,box,kaiserslautern,germani,phone,fax,e,mail,althoff,wess,informatik,uni,kl,de,tecinno,gmbh,sauerwiesen,kaiserslautern,germani,phone,fax,abstract,paper,focus,integr,induct,infer,case,base,reason,studi,integr,along,two,dimens,integr,case,base,method,method,base,gener,domain,knowledg,integr,problem,solv,increment,learn,experi,inreca,system,perform,case,base,reason,well,tdidt,top,induct,decis,tree,classif,use,same,data,structur,call,inreca,tree,extract,decis,knowledg,use,tdidt,algorithm,improv,similar,assess,determin,optim,weight,speed,overal,system,induct,learn,the,integr,system,implement,evolv,smoothli,along,applic,develop,time,pure,case,base,reason,approach,each,particular,case,piec,knowledg,induct,approach,some,subset,the,case,generalis,abstract,knowledg,propos,approach,driven,the,need,concret,pre,commerci,system,real,diagnost,applic,evalu,the,system,databas,insur,risk,car,applic,involv,forestri,manag,ireland,refer,aamodt,explan,driven,case,base,reason,richter,wess,et,al,breiman,l,friedman,j,qishen,r,stone,c,classif,regress,tree,belmont,ca,wadsworth,cardi,c,use,decis,tree,improv,case,base,learn,proc,th,int,conf,machin,learn,friedman,j,h,bentley,j,l,finkel,r,algorithm,find,best,match,logarithm,expect,time,acm,tran,math,softwar,gold,r,rosenblum,p,improv,rule,base,system,case,base,reason,proc,aaai,confer,hart,a,experi,the,use,induct,system,knowledg,engin,bramer,ed,research,develop,system,cambridg,univers,press,kibler,aha,w,learn,repres,exemplar,concept,initi,case,studi,proc,the,fourth,lnternat,workshop,machin,learn,pp,irvin,ca,morgan,kaufmann,koopman,l,h,introduct,contemporari,statist,method,second,edit,duxburi,boston,manago,althoff,k,auriol,e,traphon,r,wess,conruyt,n,maurer,f,induct,reason,case,richter,wess,et,al,mikalski,r,tecuci,g,ed,machin,learn,a,multi,strategi,approach,volum,iv,san,francisco,ca,morgan,kaufman,minger,j,an,empir,comparison,select,measur,decis,tree,induct,an,empir,comparison,prune,tree,method,decis,tree,induct,machin,learn,moor,a,w,acquisit,dynam,control,knowledg,a,robot,manipul,proc,the,seventh,lnternat,confer,machin,learn,austin,tx,morgan,kaufman,quinlan,r,induct,decis,tree,machin,learn,quinlan,r,c,program,machin,learn,san,mateo,ca,morgan,kaufmann,richter,wess,althoff,k,maurer,f,ed,proc,st,european,workshop,case,base,reason,ewcbr,salzberg,a,nearest,hyperrectangl,learn,method,machin,learn,sebag,schoenauer,a,rule,base,similar,measur,richter,wess,et,al,shannon,weaver,the,mathemat,theori,comput,univers,illinoi,press,urbana,sokal,r,r,rahlf,f,j,biometri,w,h,freeman,co,san,francisco,ting,k,m,the,problem,small,disjunct,remedi,decis,tree,proc,the,tenth,canadian,confer,artifici,intellig,utgoff,p,id,an,increment,id,fifth,intern,confer,machin,learn,morgan,kaufmann,lo,alto,wess,althoff,k,derwand,g,use,k,tree,improv,the,retriev,step,case,base,reason,wess,althoff,richter,ed,topic,case,base,reason,springer,verlag,wettschereck,a,hybrid,nearest,neighbor,nearest,hyperrectangl,algorithm,bergadano,de,raedt,ed,ecml,springer,veriag,zhang,j,a,method,combin,induct,learn,exemplar,base,learn,proc,tool,artifici,intellig,herndon,va,ieee,comput,societi,press"
CBR,"dom,arc,activ,decis,support,system,qualiti,assess,case,shirin,bakhtari,wolfgang,oertel,bsr,consult,gmbh,wirtstrass,nchen,germani,technisch,universit,dresden,institut,k,nstlich,intelligenz,dresden,germani,abstract,is,gener,accept,case,base,assist,system,can,meet,requir,real,world,complex,applic,maintain,core,domain,specif,knowledg,combin,it,case,store,present,dom,arc,incorpor,domain,ontolog,is,situat,within,case,base,design,support,system,domain,ontolog,incorpor,onli,deep,domain,knowledg,also,decis,make,knowledg,ensur,qualiti,reliabl,domain,case,dom,arc,undertak,role,an,activ,assist,support,case,base,reason,follow,servic,review,analys,case,make,suggest,case,retain,overcom,defici,propos,solut,which,solut,reject,how,to,construct,case,scratch,refer,albert,l,k,dikker,f,integr,standard,synthesi,knowledg,use,ymir,ontolog,gero,j,sudweek,f,ed,artifici,intellig,design,kiuwer,academ,publish,dordrecht,aamodt,plaza,e,case,base,reason,foundat,issu,methodolog,variat,system,approach,ai,commun,vol,nr,bakhtari,bartsch,sp,rl,b,bridg,the,gap,ai,technolog,design,requir,gero,j,sudweek,f,ed,artifici,intellig,design,kluwer,academ,publish,dordrecht,bakhtari,oertel,w,qualiti,assess,design,case,within,the,dom,environ,proceed,the,german,workshop,case,base,reason,lsa,univers,kaiserslauten,germani,bakhtari,bartsch,sp,rl,b,oertel,w,eltz,u,dom,domain,ontolog,model,architectur,engin,design,fabel,report,nr,gmd,sankt,augustin,beheshti,r,zreik,k,ed,advanc,technolog,architectur,plan,civil,engin,elsevi,fabel,consortium,survey,fabel,fabel,report,nr,sankt,augustin,gmd,haller,f,armilla,ein,installationsmodel,institut,f,r,baugestaltung,baukonstrukt,und,entwerfen,universit,karlsruh,hovestadt,l,a,digit,build,extens,comput,support,the,design,construct,manag,build,u,flem,s,van,wyk,ed,proceed,the,fifth,intern,confer,comput,aid,architectur,design,futur,north,holland,amsterdam,kolodn,j,case,base,reason,morgan,kaufmann,nech,r,fike,r,finin,gruber,patil,r,senat,swartout,w,enabl,technolog,knowledg,share,ai,magazin,oertel,w,faensi,fabel,develop,system,fabel,report,nr,gmd,sankt,augustin,walther,j,graether,w,oertel,w,schmidt,belz,b,voss,a,an,open,architectur,multipl,case,retriev,method,kean,haton,j,p,manago,m,ed,preprint,the,second,european,workshop,case,base,reason,acknosoft,press,pari,franc"
CBR,"toward,integr,case,base,schema,base,model,base,reason,support,complex,design,task,brigitt,bartsch,sp,rl,bsr,consult,gmbh,wirtstrass,nchen,germani,abstract,paper,present,approach,how,build,bridg,case,base,model,base,reason,unlik,approach,bridg,not,intend,surmount,whole,abstract,distanc,concret,case,gener,model,one,step,instead,introduc,use,web,support,column,consist,use,intermedi,represent,call,schemata,prototyp,pattern,templat,whatev,suitabl,characteris,their,function,role,design,process,paper,begin,short,summari,our,knowledg,acquisit,experi,build,design,domain,led,introduct,topolog,schemata,continu,concret,exampl,represent,integr,use,these,differ,kind,knowledg,chunk,introduc,give,short,overview,the,state,our,current,implement,the,end,the,paper,summaris,the,main,benefit,integr,case,schema,model,base,approach,refer,akin,expertis,the,architect,rychen,ed,expert,system,engin,design,academ,press,london,alexand,c,ishikawa,silverstein,jacobson,fiksdahl,king,angel,pattern,languag,oxford,univers,press,new,york,althoff,k,barletta,r,manago,auriol,e,review,industri,case,base,reason,tool,ai,intellig,oxford,bakhtari,bartsch,sp,rl,b,bridg,the,gap,ai,technolog,design,requir,gero,sudweek,f,ed,artifici,intellig,design,kluwer,dordrecht,bakhtari,oertel,w,dom,arc,activ,decis,support,system,qualiti,assess,case,aamodt,veloso,ed,proceed,iccbr,springer,heidelberg,appear,bakhtari,bartsch,sp,rl,b,oertel,w,eltz,u,dom,domain,ontolog,model,architectur,engin,design,fabel,report,nr,gmd,sankt,augustin,bartsch,sp,rl,b,ki,methoden,f,r,innov,design,dom,nen,richter,maurer,f,ed,expertensystem,infix,sankt,augustin,bartsch,sp,rl,b,bakhtari,support,system,build,design,experi,convict,the,fabel,project,proceed,the,lancast,intern,workshop,engin,design,springer,london,appear,b,rner,k,ed,modul,design,support,fabel,report,gmd,sankt,augustin,fabel,consortium,survey,fabel,fabel,report,nr,gmd,sankt,augustin,gamma,e,helm,r,johnson,r,vlissid,j,design,pattern,element,reusabl,object,orient,softwar,addison,wesley,read,goel,k,integr,case,base,reason,model,base,reason,adapt,design,problem,solv,ph,dissert,ohio,state,univers,columbu,gr,ther,w,comput,distanc,attribut,valu,represent,associ,memori,voss,ed,similar,concept,retriev,method,fabel,report,gmd,sankt,augustin,hailer,f,armilla,ein,installationsmodel,institut,f,r,baugestaltung,baukonstrukt,und,entwerfen,universit,karlsruh,hedberg,r,design,a,lifetim,byte,kolodn,j,case,base,reason,morgan,kaufmann,san,mateo,pree,w,design,pattern,object,orient,softwar,develop,acm,press,new,york,schaaf,j,w,gestalt,cad,plan,analysi,a,similar,concept,gero,j,sudweek,f,ed,artifici,intellig,design,kluwer,dordrecht,schaaf,j,w,fish,sink,an,anytim,algorithm,retriev,adequ,case,aamodt,a,veloso,ed,proceed,iccbr,springer,heidelberg,appear,turner,r,m,adapt,reason,real,world,problem,a,schema,base,approach,lawrenc,erlbaum,hillsdal,voss,a,the,need,knowledg,acquisit,case,base,reason,some,experi,an,architectur,domain,cohn,a,ed,proceed,ecai,wiley,son,chichest,voss,a,et,al,retriev,similar,layout,a,hybrid,approach,fabel,gero,j,sudweek,f,ed,artifici,intellig,design,kluwer,dordrecht"
CBR,"case,base,reason,adapt,differ,cognit,task,isabel,bichindaritz,universit,ren,descart,liap,ufr,de,math,info,rue,de,saint,p,re,pari,cedex,franc,email,bici,math,info,univ,pari,fr,abstract,case,base,reason,system,gener,devot,realiz,singl,cognit,task,need,such,system,perform,variou,cognit,task,question,organ,memori,permit,task,adapt,case,base,reason,system,adapt,cognit,task,present,capabl,adapt,analysi,task,well,synthesi,task,adapt,come,memori,composit,case,concept,it,hierarch,memori,organ,base,multipl,point,view,associ,variou,cognit,task,perform,analyt,task,the,most,specif,case,prefer,use,the,reason,process,synthesi,task,the,most,specif,concept,learnt,conceptu,cluster,use,exampl,thi,system,abil,the,domain,eat,disord,psychiatri,is,briefli,present,refer,aamodt,plaza,e,case,base,reason,foundat,issu,methodolog,variat,system,approach,ai,commun,bichindaritz,case,base,reason,system,use,control,case,base,proceed,ecai,cohn,edt,bichindaritz,case,base,assist,clinic,psychiatri,expertis,proceed,th,symposium,comput,applic,medic,care,amia,wash,ton,dc,bichindaritz,apprentissag,de,concept,dan,une,moir,dynamiqu,raisonn,partir,de,ca,adapt,la,tach,cognit,phd,thesi,univers,ren,descart,pari,bichindaritz,case,base,reason,conceptu,cluster,a,cooper,approach,proceed,st,uk,cbr,workshop,watson,f,marir,edt,appear,callan,j,fawcett,rissland,e,cabot,adapt,approach,to,case,base,search,proceed,aaai,cambridg,clancey,w,heurist,classif,artifici,intellig,volum,cornu,jol,a,get,order,independ,increment,learn,proceed,the,european,work,session,learn,gennari,j,langley,p,fisher,model,increment,concept,format,artifici,intellig,kodratoff,michalski,r,edt,machin,learn,artifici,intellig,approach,volum,morgan,kaufmann,publish,inc,san,mateo,ca,kolodn,j,maintain,organ,a,dynam,long,term,memori,cognit,scienc,kolodn,j,case,base,reason,morgan,kaufmann,publish,inc,san,mateo,ca,lebowitz,gener,from,natur,languag,text,cognit,scienc,lebowitz,concept,learn,a,rich,input,domain,gener,base,memori,machin,learn,artifici,intellig,approach,vol,michalski,r,carbonel,j,mitchel,edt,morgan,kaufmann,lo,alto,ca,lebowitz,defer,commit,unimem,wait,to,learn,proceed,th,machin,learn,confer,ann,arbor,michigan,ram,a,index,elabor,refin,increment,learn,explanatori,case,case,base,learn,kolodn,j,edt,kiuwer,academ,publish,boston,rich,e,artifici,intellig,encyclopedia,artifici,intellig,shapiro,edt,wiley,intersci,schank,r,dynam,memori,a,theori,of,remind,learn,comput,peopl,camdridg,univers,press,cambridg"
CBR,"cost,estim,softwar,project,case,base,reason,rossella,bisio,fabio,malabocchia,centro,studi,e,laboratori,telecomunicazioni,via,guglielmo,reiss,romoli,torino,itali,fax,tel,e,mail,rossella,bisio,cselt,stet,tel,e,mail,fabio,malabocchia,cselt,stet,abstract,one,challeng,goal,softwar,develop,commun,definit,assess,techniqu,tool,enabl,cost,estim,project,earli,phase,softwar,life,cycl,despit,the,increas,need,the,avail,tool,method,satisfactori,solut,still,be,found,the,last,two,year,gain,interest,commun,approach,base,analog,follow,thi,approach,estim,made,start,analog,other,softwar,project,met,the,past,the,main,reason,thi,trend,the,increas,flexibl,respect,other,approach,the,main,drawback,thi,method,the,inadequaci,the,softwar,technolog,provid,effect,eflid,implement,the,experi,report,demonstr,cbr,techniqu,allow,natur,implement,the,estim,analog,paradigm,the,softwar,estim,analog,particular,refer,simoudi,e,use,case,base,retriev,custom,technic,support,ieee,expert,oct,hennessi,hinkl,appli,case,base,reason,autoclav,load,ieee,expert,oct,pearc,goel,k,kolodn,j,l,zimr,c,sentosa,l,billington,r,case,base,design,support,ieee,expert,octob,nguyen,czerwinski,dan,lee,compaq,quicksourc,provid,the,consum,the,power,al,ai,magazin,fall,allen,b,p,case,base,reason,busi,applic,commun,the,acm,vol,march,boehm,b,w,softwar,engin,econom,prentic,hall,englewood,cliff,new,jersey,subramanian,g,h,empir,examin,softwar,develop,mode,the,journal,system,softwar,weiss,m,kulikowski,c,comput,system,learn,morgan,kauffman,publish"
CBR,"separ,case,data,toward,flexibl,case,base,reason,mike,brown,ian,watson,nick,filer,depart,comput,scienc,univers,manchest,manchest,uk,michaelb,nick,cs,man,ac,uk,depart,survey,univers,salford,salford,uk,watson,survey,salford,ac,uk,abstract,number,success,small,scale,purpos,built,applic,cbr,grow,rapidli,howev,cbr,so,far,been,wide,use,methodolog,reus,larg,scale,data,repositori,typic,maintain,corpor,facilit,case,must,longer,consid,concret,repres,data,level,virtual,view,underli,data,paper,argu,basic,requir,support,virtual,case,map,function,differ,data,represent,is,argu,use,map,function,increas,flexibl,number,way,multipl,cbr,applic,exploit,singl,databas,similarli,singl,case,represent,span,multipl,databas,support,commun,differ,cbr,applic,well,as,evolut,case,represent,within,singl,applic,also,cater,by,same,methodolog,paper,provid,refer,relat,work,databas,system,respect,issu,map,function,implement,manag,refer,special,issu,heterogen,databas,acm,comput,survey,septemb,special,issu,heterogen,distribut,databas,system,comput,decemb,r,alterman,wentworth,determin,the,import,featur,case,darpa,cbr,workshop,page,morgan,kaufmann,k,althoff,e,auriol,r,barletta,manago,review,industri,case,base,reason,tool,ai,intellig,p,box,oxford,x,xl,isbn,x,andrea,g,schiaget,kirn,problem,solv,feder,environ,the,fresco,concept,cooper,agent,the,new,gener,inform,system,data,knowledg,springer,verlag,k,ashley,index,analyt,model,darpa,cbr,workshop,page,morgan,kaufmann,brown,case,base,reason,principl,potenti,ai,intellig,p,box,oxford,ox,xl,brown,gener,oper,schema,schema,map,technic,report,jcf,man,mar,the,uni,manchest,brown,z,moosa,n,filer,j,heaton,j,pye,close,integr,cad,vendor,framework,the,jessi,common,frame,use,flexibl,adapt,procedur,interfac,proc,the,int,workshop,concurr,simultan,engin,framework,applic,lisboa,portug,c,do,santo,abiteboul,c,delobel,virtual,schema,base,lectur,note,comput,scienc,proc,edbt,c,edelson,should,cheetah,remind,bat,remind,case,base,teach,proc,aaai,page,b,falkenhain,k,forbu,d,gentner,the,structur,map,engin,algorithm,exampl,artifici,intellig,n,filer,brown,z,moosa,integr,cad,tool,a,framework,environ,use,a,flexibl,adapt,procedur,interfac,proc,eurodac,page,grenobl,ieee,cs,press,a,k,goel,j,l,kolodn,pearc,r,billington,toward,a,case,base,tool,aid,conceptu,design,problem,solv,darpa,cbr,workshop,page,washington,d,c,k,j,hammond,explain,repair,plan,fail,artifici,intellig,s,mir,heurist,reason,an,automat,commonsens,understand,logic,electron,design,specif,phd,thesi,the,uni,manchest,m,j,pazzani,index,strategi,goal,specif,retriev,case,darpa,cbr,workshop,page,morgan,kaufmann,p,k,c,pun,knowledg,base,applic,knowledg,base,map,applic,phd,thesi,the,uni,manchest,m,p,reddi,b,e,prasad,p,g,reddi,a,gupta,a,methodolog,integr,heterogen,databas,ieee,transact,knowledg,data,engin,decemb,h,shimazu,h,kitano,a,shibata,retriev,case,relat,data,base,anoth,stride,toward,corpor,wide,case,base,system,proc,of,ijcai,page,chamb,ry,morgan,kaufmann,j,e,varga,s,raj,develop,maintain,expert,system,use,case,base,reason,expert,system,iv,watson,f,marir,case,base,reason,a,review,the,knowledg,engin,review"
